areaCode,areaName,areaType,date,cumCasesBySpecimenDate
E92000001,England,nation,2021-10-27,7597473
E92000001,England,nation,2021-10-26,7588687
E92000001,England,nation,2021-10-25,7558282
E92000001,England,nation,2021-10-24,7520777
E92000001,England,nation,2021-10-23,7491660
E92000001,England,nation,2021-10-22,7462787
E92000001,England,nation,2021-10-21,7429101
E92000001,England,nation,2021-10-20,7391416
E92000001,England,nation,2021-10-19,7348388
E92000001,England,nation,2021-10-18,7304802
E92000001,England,nation,2021-10-17,7256652
E92000001,England,nation,2021-10-16,7219911
E92000001,England,nation,2021-10-15,7188914
E92000001,England,nation,2021-10-14,7153063
E92000001,England,nation,2021-10-13,7114648
E92000001,England,nation,2021-10-12,7074930
E92000001,England,nation,2021-10-11,7034906
E92000001,England,nation,2021-10-10,6992677
E92000001,England,nation,2021-10-09,6961789
E92000001,England,nation,2021-10-08,6935229
E92000001,England,nation,2021-10-07,6905995
E92000001,England,nation,2021-10-06,6874457
E92000001,England,nation,2021-10-05,6842578
E92000001,England,nation,2021-10-04,6811012
E92000001,England,nation,2021-10-03,6775261
E92000001,England,nation,2021-10-02,6748667
E92000001,England,nation,2021-10-01,6727247
E92000001,England,nation,2021-09-30,6703607
E92000001,England,nation,2021-09-29,6677364
E92000001,England,nation,2021-09-28,6649226
E92000001,England,nation,2021-09-27,6620210
E92000001,England,nation,2021-09-26,6586314
E92000001,England,nation,2021-09-25,6560049
E92000001,England,nation,2021-09-24,6537394
E92000001,England,nation,2021-09-23,6512181
E92000001,England,nation,2021-09-22,6484469
E92000001,England,nation,2021-09-21,6456284
E92000001,England,nation,2021-09-20,6426333
E92000001,England,nation,2021-09-19,6394880
E92000001,England,nation,2021-09-18,6370617
E92000001,England,nation,2021-09-17,6350093
E92000001,England,nation,2021-09-16,6328180
E92000001,England,nation,2021-09-15,6306447
E92000001,England,nation,2021-09-14,6284495
E92000001,England,nation,2021-09-13,6262350
E92000001,England,nation,2021-09-12,6237709
E92000001,England,nation,2021-09-11,6220200
E92000001,England,nation,2021-09-10,6203598
E92000001,England,nation,2021-09-09,6183068
E92000001,England,nation,2021-09-08,6159165
E92000001,England,nation,2021-09-07,6134105
E92000001,England,nation,2021-09-06,6106755
E92000001,England,nation,2021-09-05,6074384
E92000001,England,nation,2021-09-04,6051420
E92000001,England,nation,2021-09-03,6028454
E92000001,England,nation,2021-09-02,6000344
E92000001,England,nation,2021-09-01,5970362
E92000001,England,nation,2021-08-31,5939424
E92000001,England,nation,2021-08-30,5906570
E92000001,England,nation,2021-08-29,5882171
E92000001,England,nation,2021-08-28,5863438
E92000001,England,nation,2021-08-27,5843752
E92000001,England,nation,2021-08-26,5820040
E92000001,England,nation,2021-08-25,5794143
E92000001,England,nation,2021-08-24,5766901
E92000001,England,nation,2021-08-23,5739353
E92000001,England,nation,2021-08-22,5709686
E92000001,England,nation,2021-08-21,5687735
E92000001,England,nation,2021-08-20,5665589
E92000001,England,nation,2021-08-19,5640585
E92000001,England,nation,2021-08-18,5612193
E92000001,England,nation,2021-08-17,5581497
E92000001,England,nation,2021-08-16,5551165
E92000001,England,nation,2021-08-15,5521019
E92000001,England,nation,2021-08-14,5500179
E92000001,England,nation,2021-08-13,5479271
E92000001,England,nation,2021-08-12,5454811
E92000001,England,nation,2021-08-11,5427739
E92000001,England,nation,2021-08-10,5399249
E92000001,England,nation,2021-08-09,5372266
E92000001,England,nation,2021-08-08,5344637
E92000001,England,nation,2021-08-07,5324933
E92000001,England,nation,2021-08-06,5305434
E92000001,England,nation,2021-08-05,5281143
E92000001,England,nation,2021-08-04,5253627
E92000001,England,nation,2021-08-03,5225391
E92000001,England,nation,2021-08-02,5198982
E92000001,England,nation,2021-08-01,5173009
E92000001,England,nation,2021-07-31,5154793
E92000001,England,nation,2021-07-30,5136786
E92000001,England,nation,2021-07-29,5115198
E92000001,England,nation,2021-07-28,5090410
E92000001,England,nation,2021-07-27,5064068
E92000001,England,nation,2021-07-26,5038634
E92000001,England,nation,2021-07-25,5012710
E92000001,England,nation,2021-07-24,4993471
E92000001,England,nation,2021-07-23,4973622
E92000001,England,nation,2021-07-22,4949611
E92000001,England,nation,2021-07-21,4922453
E92000001,England,nation,2021-07-20,4891410
E92000001,England,nation,2021-07-19,4856291
E92000001,England,nation,2021-07-18,4813855
E92000001,England,nation,2021-07-17,4781361
E92000001,England,nation,2021-07-16,4746719
E92000001,England,nation,2021-07-15,4696588
