areaCode,areaName,areaType,date,cumCasesBySpecimenDate
E92000001,England,nation,2021-10-26,7564400
E92000001,England,nation,2021-10-25,7555790
E92000001,England,nation,2021-10-24,7520122
E92000001,England,nation,2021-10-23,7491302
E92000001,England,nation,2021-10-22,7462642
E92000001,England,nation,2021-10-21,7428996
E92000001,England,nation,2021-10-20,7391332
E92000001,England,nation,2021-10-19,7348317
E92000001,England,nation,2021-10-18,7304743
E92000001,England,nation,2021-10-17,7256604
E92000001,England,nation,2021-10-16,7219879
E92000001,England,nation,2021-10-15,7188895
E92000001,England,nation,2021-10-14,7153050
E92000001,England,nation,2021-10-13,7114640
E92000001,England,nation,2021-10-12,7074923
E92000001,England,nation,2021-10-11,7034902
E92000001,England,nation,2021-10-10,6992678
E92000001,England,nation,2021-10-09,6961790
E92000001,England,nation,2021-10-08,6935227
E92000001,England,nation,2021-10-07,6905996
E92000001,England,nation,2021-10-06,6874459
E92000001,England,nation,2021-10-05,6842579
E92000001,England,nation,2021-10-04,6811015
E92000001,England,nation,2021-10-03,6775267
E92000001,England,nation,2021-10-02,6748674
E92000001,England,nation,2021-10-01,6727255
E92000001,England,nation,2021-09-30,6703625
E92000001,England,nation,2021-09-29,6677382
E92000001,England,nation,2021-09-28,6649243
E92000001,England,nation,2021-09-27,6620229
E92000001,England,nation,2021-09-26,6586334
E92000001,England,nation,2021-09-25,6560069
E92000001,England,nation,2021-09-24,6537415
E92000001,England,nation,2021-09-23,6512203
E92000001,England,nation,2021-09-22,6484491
E92000001,England,nation,2021-09-21,6456306
E92000001,England,nation,2021-09-20,6426352
E92000001,England,nation,2021-09-19,6394899
E92000001,England,nation,2021-09-18,6370638
E92000001,England,nation,2021-09-17,6350116
E92000001,England,nation,2021-09-16,6328200
E92000001,England,nation,2021-09-15,6306465
E92000001,England,nation,2021-09-14,6284511
E92000001,England,nation,2021-09-13,6262362
E92000001,England,nation,2021-09-12,6237722
E92000001,England,nation,2021-09-11,6220210
E92000001,England,nation,2021-09-10,6203607
E92000001,England,nation,2021-09-09,6183075
E92000001,England,nation,2021-09-08,6159171
E92000001,England,nation,2021-09-07,6134115
E92000001,England,nation,2021-09-06,6106767
E92000001,England,nation,2021-09-05,6074392
E92000001,England,nation,2021-09-04,6051427
E92000001,England,nation,2021-09-03,6028461
E92000001,England,nation,2021-09-02,6000347
E92000001,England,nation,2021-09-01,5970365
E92000001,England,nation,2021-08-31,5939430
E92000001,England,nation,2021-08-30,5906576
E92000001,England,nation,2021-08-29,5882178
E92000001,England,nation,2021-08-28,5863446
E92000001,England,nation,2021-08-27,5843761
E92000001,England,nation,2021-08-26,5820048
E92000001,England,nation,2021-08-25,5794148
E92000001,England,nation,2021-08-24,5766906
E92000001,England,nation,2021-08-23,5739359
E92000001,England,nation,2021-08-22,5709693
E92000001,England,nation,2021-08-21,5687741
E92000001,England,nation,2021-08-20,5665597
E92000001,England,nation,2021-08-19,5640593
E92000001,England,nation,2021-08-18,5612202
E92000001,England,nation,2021-08-17,5581506
E92000001,England,nation,2021-08-16,5551174
E92000001,England,nation,2021-08-15,5521029
E92000001,England,nation,2021-08-14,5500186
E92000001,England,nation,2021-08-13,5479276
E92000001,England,nation,2021-08-12,5454820
E92000001,England,nation,2021-08-11,5427748
E92000001,England,nation,2021-08-10,5399255
E92000001,England,nation,2021-08-09,5372272
E92000001,England,nation,2021-08-08,5344641
E92000001,England,nation,2021-08-07,5324937
E92000001,England,nation,2021-08-06,5305438
E92000001,England,nation,2021-08-05,5281145
E92000001,England,nation,2021-08-04,5253632
E92000001,England,nation,2021-08-03,5225396
E92000001,England,nation,2021-08-02,5198985
E92000001,England,nation,2021-08-01,5173011
E92000001,England,nation,2021-07-31,5154797
E92000001,England,nation,2021-07-30,5136794
E92000001,England,nation,2021-07-29,5115207
E92000001,England,nation,2021-07-28,5090419
E92000001,England,nation,2021-07-27,5064080
E92000001,England,nation,2021-07-26,5038645
E92000001,England,nation,2021-07-25,5012723
E92000001,England,nation,2021-07-24,4993490
E92000001,England,nation,2021-07-23,4973640
E92000001,England,nation,2021-07-22,4949628
E92000001,England,nation,2021-07-21,4922464
E92000001,England,nation,2021-07-20,4891422
E92000001,England,nation,2021-07-19,4856305
E92000001,England,nation,2021-07-18,4813868
E92000001,England,nation,2021-07-17,4781373
E92000001,England,nation,2021-07-16,4746732
E92000001,England,nation,2021-07-15,4696599
E92000001,England,nation,2021-07-14,4640228
E92000001,England,nation,2021-07-13,4590945
E92000001,England,nation,2021-07-12,4548630
E92000001,England,nation,2021-07-11,4508989
E92000001,England,nation,2021-07-10,4482052
E92000001,England,nation,2021-07-09,4457127
E92000001,England,nation,2021-07-08,4428670
E92000001,England,nation,2021-07-07,4399395
E92000001,England,nation,2021-07-06,4365883
E92000001,England,nation,2021-07-05,4334921
E92000001,England,nation,2021-07-04,4305392
E92000001,England,nation,2021-07-03,4284070
E92000001,England,nation,2021-07-02,4263863
E92000001,England,nation,2021-07-01,4242121
E92000001,England,nation,2021-06-30,4218503
E92000001,England,nation,2021-06-29,4195097
E92000001,England,nation,2021-06-28,4172419
E92000001,England,nation,2021-06-27,4149539
E92000001,England,nation,2021-06-26,4134495
E92000001,England,nation,2021-06-25,4121315
E92000001,England,nation,2021-06-24,4106796
E92000001,England,nation,2021-06-23,4092087
E92000001,England,nation,2021-06-22,4077689
E92000001,England,nation,2021-06-21,4064472
E92000001,England,nation,2021-06-20,4052066
E92000001,England,nation,2021-06-19,4044057
E92000001,England,nation,2021-06-18,4037117
E92000001,England,nation,2021-06-17,4028611
E92000001,England,nation,2021-06-16,4019411
E92000001,England,nation,2021-06-15,4010255
E92000001,England,nation,2021-06-14,4001387
E92000001,England,nation,2021-06-13,3992698
E92000001,England,nation,2021-06-12,3986789
E92000001,England,nation,2021-06-11,3981533
E92000001,England,nation,2021-06-10,3975198
E92000001,England,nation,2021-06-09,3968667
E92000001,England,nation,2021-06-08,3961948
E92000001,England,nation,2021-06-07,3955521
E92000001,England,nation,2021-06-06,3948926
E92000001,England,nation,2021-06-05,3944315
E92000001,England,nation,2021-06-04,3940455
E92000001,England,nation,2021-06-03,3935716
E92000001,England,nation,2021-06-02,3930743
E92000001,England,nation,2021-06-01,3925824
E92000001,England,nation,2021-05-31,3921492
E92000001,England,nation,2021-05-30,3918431
E92000001,England,nation,2021-05-29,3915899
E92000001,England,nation,2021-05-28,3913506
E92000001,England,nation,2021-05-27,3910679
