year,primary,secondary,tertiary,level
2000,94.7407074,57.35533142,19.02593994,primary
2001,95.73738861,57.78274155,20.32254028,secondary
2002,96.15660858,58.75867844,21.9403801,tertiary
2003,98.73856354,60.16675949,23.13619041,
2004,99.29403687,61.16464996,24.12968063,
2005,99.73999023,62.3097496,24.94113922,
2006,100.054512,63.57157135,26.0039196,
2007,100.9419403,65.38921356,26.94486046,
2008,101.6740875,67.22878265,28.06014061,
2009,101.8162918,68.40852356,29.19436073,
2010,101.3630905,69.87905884,30.48856926,
2011,101.8350906,71.13236237,32.32720947,
2012,102.7460175,72.06931305,34.03815842,
2013,103.9030991,73.94184113,35.1912384,
2014,102.6486435,74.96174622,37.79988861,
2015,102.3875427,75.03735352,38.95061111,
2016,104.3739777,75.31050873,39.67110825,
2017,104.139801,74.9803772,40.26337814,
2018,100.5605316,75.70320129,41.06241989,
2019,100.8158493,75.9183197,42.37649155,
