year,births
1960,4.979299498
1961,5.003564277
1962,5.025367418
1963,5.045550595
1964,5.056470116
1965,5.040687076
1966,4.992084743
1967,4.97327569
1968,4.922089469
1969,4.855976292
1970,4.778572494
1971,4.669268331
1972,4.53970361
1973,4.410469926
1974,4.288770812
1975,4.15688867
1976,4.040382918
1977,3.936737207
1978,3.843072253
1979,3.77341512
1980,3.713652391
1981,3.656614012
1982,3.627155101
1983,3.5945681
1984,3.564195128
1985,3.535984167
1986,3.499524247
1987,3.455160571
1988,3.398938314
1989,3.324349664
1990,3.248547126
1991,3.157407402
1992,3.071547794
1993,2.987612744
1994,2.921842129
1995,2.862563637
1996,2.816996486
1997,2.777270188
1998,2.746359225
1999,2.716833207
2000,2.69616578
2001,2.666349493
2002,2.64355328
2003,2.6248957
2004,2.608629514
2005,2.588058048
2006,2.577170957
2007,2.567089029
2008,2.554934486
2009,2.534207585
2010,2.516290288
2011,2.498604082
2012,2.48889436
2013,2.472253007
2014,2.464680782
2015,2.455270398
2016,2.44464622
2017,2.427212258
2018,2.415040379
2019,2.401803511
