year,level,grade
2000,94.7407074,primary
2001,95.73738861,primary
2002,96.15660858,primary
2003,98.73856354,primary
2004,99.29403687,primary
2005,99.73999023,primary
2006,100.054512,primary
2007,100.9419403,primary
2008,101.6740875,primary
2009,101.8162918,primary
2010,101.3630905,primary
2011,101.8350906,primary
2012,102.7460175,primary
2013,103.9030991,primary
2014,102.6486435,primary
2015,102.3875427,primary
2016,104.3739777,primary
2017,104.139801,primary
2018,100.5605316,primary
2019,100.8158493,primary
