year,literacy,unemployment
2000,75.34387207,5.982418978
2001,75.79277039,6.007975195
2002,76.22312164,6.244606697
2003,76.81378174,6.384946016
2004,77.29447937,6.292114811
2005,77.14740753,6.19364369
2006,77.81728363,5.871181318
2007,78.11154938,5.602329258
2008,78.66420746,5.503683392
2009,79.07054901,6.102863687
2010,79.80432892,6.091449706
2011,80.24646759,5.938791572
2012,80.69907379,5.92659779
2013,80.93791199,5.90861398
2014,81.52600861,5.783487188
2015,81.76899719,5.825451149
2016,82.30731201,5.870066907
2017,82.63961792,5.753882945
2018,82.72289276,5.528661659
2019,83.02391052,5.518006958
