year,level,grade
2000,57.35533142,secondary
2001,57.78274155,secondary
2002,58.75867844,secondary
2003,60.16675949,secondary
2004,61.16464996,secondary
2005,62.3097496,secondary
2006,63.57157135,secondary
2007,65.38921356,secondary
2008,67.22878265,secondary
2009,68.40852356,secondary
2010,69.87905884,secondary
2011,71.13236237,secondary
2012,72.06931305,secondary
2013,73.94184113,secondary
2014,74.96174622,secondary
2015,75.03735352,secondary
2016,75.31050873,secondary
2017,74.9803772,secondary
2018,75.70320129,secondary
2019,75.9183197,secondary
